school,Latitude,Longitude,Location,year_founded
Texas Southern University,29.7214,-95.3593,"Houston, TX",1927
Trenholm State Community College,32.3503,-86.343,"Montgomery, AL",1966
Tuskegee University,32.4308,-85.7073,"Tuskegee, AL",1881
University of Arkansas at Pine Bluff,34.2474,-92.0217,"Pine Bluff, AR",1873
University of Maryland Eastern Shore,38.21,-75.68,"Princess Anne, MD",1886
University of the District of Columbia,38.9447,-77.0656,"Washington, DC",1851
University of the Virgin Islands,18.3432,-64.9729,"St Thomas 00802, U.S. Virgin Islands",1962
Virginia State University,37.2384,-77.4198,"Virginia state university, VA",1882
Virginia Union University,37.5626,-77.4514,"Richmond, VA",1899
West Virginia State University,38.379,-81.7666,"Institute, WV",1891
Wilberforce University,39.7104,-83.8794,"Wilberforce, OH",1856
Wiley College,32.5385,-94.3752,"Marshall, TX",1873
Winston-Salem State University,36.0898,-80.225,"Winston-Salem, NC",1892
Xavier University of Louisiana,29.9632,-90.1062,"New Orleans, LA",1925
